iter	Accuracy	MultiClass
826	0.9985693848	0.05844459841
827	0.9985693848	0.05839550205
828	0.9985693848	0.05833051138
829	0.9985693848	0.05823485745
830	0.9985693848	0.05815531427
831	0.9985693848	0.05805263666
832	0.9985693848	0.05793190275
833	0.9985693848	0.05787371738
834	0.9985693848	0.05769536475
835	0.9985693848	0.05763485652
836	0.9985693848	0.05752336842
837	0.9985693848	0.05749651267
838	0.9985693848	0.05738180874
839	0.9985693848	0.05730597946
840	0.9985693848	0.05722545959
841	0.9985693848	0.05719744227
842	0.9985693848	0.05714132207
843	0.9985693848	0.05701473951
844	0.9985693848	0.05694153686
845	0.9985693848	0.05685107116
846	0.9985693848	0.05683356645
847	0.9985693848	0.05669816878
848	0.9985693848	0.05664405585
849	0.9985693848	0.05658919842
850	0.9985693848	0.05657322064
851	0.9985693848	0.05649451181
852	0.9985693848	0.05642641148
853	0.9985693848	0.05632253823
854	0.9985693848	0.05626435022
855	0.9985693848	0.056157833
856	0.9985693848	0.05615028534
857	0.9985693848	0.05602130204
858	0.9985693848	0.0560135534
859	0.9985693848	0.05590528634
860	0.9985693848	0.05588088283
861	0.9985693848	0.05581805269
862	0.9985693848	0.05570721594
863	0.9985693848	0.05565443474
864	0.9985693848	0.05557282673
865	0.9985693848	0.05550992798
866	0.9985693848	0.05543284587
867	0.9985693848	0.05534933502
868	0.9985693848	0.0552901591
869	0.9985693848	0.05520227445
870	0.9985693848	0.05519795613
871	0.9985693848	0.0551872837
872	0.9985693848	0.0551340544
873	0.9985693848	0.05502079681
874	0.9985693848	0.0549969347
875	0.9985693848	0.05489934067
